Band,Metric,Lobe,Comparison,N_pairs,Pre (mean +/- SD),Ictal (mean +/- SD),Post (mean +/- SD),Cohens_d,p_value,p_corr
Gamma,B,MTL,Pre vs Post,70,0.196 +/- 0.151,0.326 +/- 0.177,0.236 +/- 0.170,-0.205,0.091,1.000
Gamma,B,LTL,Pre vs Ictal,70,0.351 +/- 0.075,0.319 +/- 0.062,0.323 +/- 0.081,0.393,0.002,0.024
Gamma,B,LTL,Ictal vs Post,70,0.351 +/- 0.075,0.319 +/- 0.062,0.323 +/- 0.081,-0.039,0.745,1.000
Gamma,B,LTL,Pre vs Post,70,0.351 +/- 0.075,0.319 +/- 0.062,0.323 +/- 0.081,0.276,0.024,0.359
Gamma,B,PL,Pre vs Ictal,39,0.286 +/- 0.116,0.305 +/- 0.092,0.128 +/- 0.141,-0.156,0.336,1.000
Gamma,B,PL,Ictal vs Post,39,0.286 +/- 0.116,0.305 +/- 0.092,0.128 +/- 0.141,1.092,<0.001,<0.001
Gamma,B,PL,Pre vs Post,39,0.286 +/- 0.116,0.305 +/- 0.092,0.128 +/- 0.141,1.164,<0.001,<0.001
HFO,F,FL,Pre vs Ictal,45,3.489 +/- 1.661,3.715 +/- 1.358,5.231 +/- 3.795,-0.140,0.352,1.000
HFO,F,FL,Ictal vs Post,45,3.489 +/- 1.661,3.715 +/- 1.358,5.231 +/- 3.795,-0.438,0.005,0.079
HFO,F,FL,Pre vs Post,45,3.489 +/- 1.661,3.715 +/- 1.358,5.231 +/- 3.795,-0.619,<0.001,0.002
HFO,F,INS,Pre vs Ictal,41,4.530 +/- 2.835,4.966 +/- 2.743,5.044 +/- 2.955,-0.146,0.355,1.000
HFO,F,INS,Ictal vs Post,41,4.530 +/- 2.835,4.966 +/- 2.743,5.044 +/- 2.955,-0.022,0.888,1.000
HFO,F,INS,Pre vs Post,41,4.530 +/- 2.835,4.966 +/- 2.743,5.044 +/- 2.955,-0.266,0.097,1.000
HFO,F,MTL,Pre vs Ictal,53,3.265 +/- 2.905,2.958 +/- 3.213,5.390 +/- 4.145,0.069,0.616,1.000
HFO,F,MTL,Ictal vs Post,53,3.265 +/- 2.905,2.958 +/- 3.213,5.390 +/- 4.145,-0.535,<0.001,0.004
HFO,F,MTL,Pre vs Post,53,3.265 +/- 2.905,2.958 +/- 3.213,5.390 +/- 4.145,-0.661,<0.001,<0.001
HFO,F,LTL,Pre vs Ictal,53,4.015 +/- 1.985,4.312 +/- 2.268,5.036 +/- 3.304,-0.128,0.357,1.000
HFO,F,LTL,Ictal vs Post,53,4.015 +/- 1.985,4.312 +/- 2.268,5.036 +/- 3.304,-0.212,0.129,1.000
HFO,F,LTL,Pre vs Post,53,4.015 +/- 1.985,4.312 +/- 2.268,5.036 +/- 3.304,-0.388,0.007,0.100
HFO,F,PL,Pre vs Ictal,30,3.222 +/- 2.745,4.885 +/- 2.540,3.436 +/- 2.386,-0.418,0.030,0.445
HFO,F,PL,Ictal vs Post,30,3.222 +/- 2.745,4.885 +/- 2.540,3.436 +/- 2.386,0.421,0.029,0.428
HFO,F,PL,Pre vs Post,30,3.222 +/- 2.745,4.885 +/- 2.540,3.436 +/- 2.386,-0.075,0.683,1.000
HFO,D,FL,Pre vs Ictal,45,2.489 +/- 1.707,2.636 +/- 1.318,4.240 +/- 3.760,-0.088,0.556,1.000
HFO,D,FL,Ictal vs Post,45,2.489 +/- 1.707,2.636 +/- 1.318,4.240 +/- 3.760,-0.456,0.004,0.057
HFO,D,FL,Pre vs Post,45,2.489 +/- 1.707,2.636 +/- 1.318,4.240 +/- 3.760,-0.665,<0.001,<0.001
HFO,D,INS,Pre vs Ictal,41,3.806 +/- 2.634,4.190 +/- 2.724,4.139 +/- 3.152,-0.140,0.377,1.000
HFO,D,INS,Ictal vs Post,41,3.806 +/- 2.634,4.190 +/- 2.724,4.139 +/- 3.152,0.014,0.930,1.000
HFO,D,INS,Pre vs Post,41,3.806 +/- 2.634,4.190 +/- 2.724,4.139 +/- 3.152,-0.162,0.304,1.000
HFO,D,MTL,Pre vs Ictal,53,3.198 +/- 3.364,2.662 +/- 3.150,4.412 +/- 3.577,0.114,0.411,1.000
HFO,D,MTL,Ictal vs Post,53,3.198 +/- 3.364,2.662 +/- 3.150,4.412 +/- 3.577,-0.447,0.002,0.030
HFO,D,MTL,Pre vs Post,53,3.198 +/- 3.364,2.662 +/- 3.150,4.412 +/- 3.577,-0.419,0.004,0.054
HFO,D,LTL,Pre vs Ictal,53,3.101 +/- 1.809,3.400 +/- 2.139,4.074 +/- 3.108,-0.134,0.334,1.000
HFO,D,LTL,Ictal vs Post,53,3.101 +/- 1.809,3.400 +/- 2.139,4.074 +/- 3.108,-0.201,0.150,1.000
HFO,D,LTL,Pre vs Post,53,3.101 +/- 1.809,3.400 +/- 2.139,4.074 +/- 3.108,-0.371,0.009,0.139
